fsd_id,k1,k2,bv1,bv3,bv6,k7,k8_1,k8_2,k8_3,k8_4,k9_1,k9_2,k9_3,k9_4,k9_5,k9_6,k9_7,k9_8,k9_9,k9_10,k9_11,k9_12,k9_13,k9_14,k9_15,k9_16,k9_17,k9_18,k9_19,k9_20,k9_21,k9_22,k9_23,k9_24,k9_25,k9_26,k9_27,k9_28,k9_29,k9_30,k13,k14,k15,k16,k17,k18,k19,k20,k21_1,k21_2,k21_3,k21_4,k21_5,k21_6,k21_7,k21_8,k21_9,k22_1,k22_2,k22_3,k22_4,k22_5,k22_6,k22_7,k22_8,k22_9,k22_10,k23,k24,k25,k26,k27,k28,k29,k30,k31,k32,k33,k34,k95_1,k95_2,k95_3,k95_4,k95_5,k95_6,k95_7,k95_8,k95_9,k95_10,k95_11,k95_12,k95_13,k95_14,k95_15,k95_16,k95_17,k95_18,height,weight,gender,age,BMI,BMI.factor,Social_wellbeing,Social_engagement,Mental_wellbeing,Emotional_wellbeing,Accomplishment,Pressure,EXhaustion
1,NA,1,1,23,0,1,4,4,4,5,NA,NA,NA,NA,3,2,NA,1,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,3,1,0,0,0,0,0,0,-2,-1,0,1,1,1,-1,0,0,1,0,1,0,0,0,1,0,1,0,2,2,2,2,3,2,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,3,3,3,1,3,1,2,3,1,180,80,Male,NA,24.691358024691358,Normal weight,-0.9014527819699639,-0.31264733310235726,-0.36767476627932394,0.36021830994900694,-1.1933486352482143,-1.5911969334150453,-0.9734333326952616
2,2,2,1,23,0,1,4,4,4,4,3,1,1,NA,2,1,NA,NA,NA,NA,NA,NA,3,1,1,NA,NA,NA,1,NA,1,1,NA,3,3,2,1,1,NA,NA,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,2,2,2,1,2,2,2,1,1,2,4,2,2,4,2,2,3,2,3,4,4,3,4,5,4,4,4,5,172,55,Female,22-24,18.591130340724717,Normal weight,-0.8070226269806754,-0.4297040569260396,-0.10446186665655385,-0.782608945785566,0.791516015209718,0.18501279286800942,-0.27521372721756304
3,3,1,1,23,0,1,3,3,3,3,2,2,3,1,2,2,2,2,2,3,1,3,2,2,2,2,2,1,3,2,1,1,1,3,2,2,3,2,2,1,4,1,0,0,0,1,1,0,-1,1,0,NA,1,1,-2,-1,-1,2,4,2,3,1,1,1,2,2,2,2,2,3,2,3,2,4,2,3,2,2,3,2,2,2,2,2,6,4,4,2,2,4,3,2,3,3,3,3,2,186,94,Male,25-27,27.170771187420506,Overweight,0.42234847055497693,0.3144104531702118,1.9148226359361535,0.9131186162598485,-0.6107434270237564,0.017613195022862516,0.3644921175351474
4,2,1,1,23,0,1,4,5,5,5,2,1,3,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,4,1,0,0,0,0,0,0,-1,1,1,1,1,1,1,0,1,1,0,1,1,0,0,0,0,0,0,2,1,2,2,3,2,2,2,1,1,1,2,3,2,NA,1,4,1,2,3,1,3,5,2,4,1,2,2,1,2,183,85,Male,22-24,25.381468541909282,Overweight,-0.9401289618942833,-0.3139019958149839,-0.34667389735066245,-0.015449993088095523,NA,NA,NA
5,2,1,1,23,0,2,5,4,5,5,3,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,1,2,3,1,1,1,1,3,3,2,2,3,1,1,2,2,0,0,0,0,0,0,-1,2,1,1,1,2,2,1,0,2,1,1,1,0,0,3,1,2,2,3,3,2,2,3,2,2,2,4,2,1,3,4,5,3,4,5,3,3,4,3,3,4,4,3,4,2,5,4,4,185,66,Male,22-24,19.284149013878743,Normal weight,0.29107808048849326,-0.16681347265606666,1.2149582590437227,1.3401998485833895,0.36635945864577363,0.5176065432131756,1.458281609640051
6,NA,2,1,24,0,1,4,3,3,3,2,NA,1,NA,2,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,1,1,NA,NA,NA,1,3,1,0,0,0,0,0,0,-1,-1,0,0,0,0,-2,0,0,1,0,2,0,0,0,1,0,0,0,2,2,2,2,1,2,2,2,2,1,1,2,1,3,2,2,4,3,1,2,2,2,2,2,2,2,2,2,2,3,164,51,Female,NA,18.961927424152293,Normal weight,-0.5946462707723578,-0.3377927616407765,-0.11392751382122498,-0.6937284432098162,-1.1904712752131401,-1.2177793988791952,0.9315671914398609
7,2,2,1,24,0,1,3,2,1,3,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,3,2,2,1,2,1,2,2,2,1,1,3,1,0,0,0,0,0,0,-2,0,-1,NA,0,0,1,0,-1,2,0,1,1,0,0,1,1,2,1,3,3,2,2,1,2,3,1,3,3,3,3,5,2,4,2,1,2,4,6,2,4,6,5,5,6,3,6,4,4,165,50,Female,22-24,18.36547291092746,Underweight,1.4996521076944227,-0.13852435976448296,1.1630347988621799,-0.24221011871819823,1.470820415244597,0.936354165313557,-0.5279726368106235
8,1,2,1,24,0,1,4,4,4,4,1,2,2,1,2,3,1,1,1,1,1,1,2,1,1,1,1,2,1,1,1,1,1,2,2,1,1,1,1,1,4,1,0,0,0,1,1,0,2,-2,-1,0,0,0,2,1,0,1,0,4,0,0,0,0,0,0,1,2,1,1,2,2,2,2,2,1,1,1,2,3,1,2,1,1,1,4,1,1,4,6,4,4,6,5,5,4,5,158,64,Female,19-21,25.63691716071142,Overweight,-0.9444258956017039,-0.752217604786337,-0.3799006155665847,-0.5201523945451544,1.3520766575067462,-0.22082449311516078,-1.1718607370515615
9,2,2,1,24,0,1,4,4,4,4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,0,0,0,NA,0,0,1,-1,0,0,0,1,2,2,2,1,2,1,0,0,0,2,0,0,0,2,1,2,2,1,1,2,2,1,1,1,2,2,1,2,1,1,2,3,2,1,4,4,2,3,3,2,3,3,3,163,57,Female,22-24,21.453573713726524,Normal weight,-1.0405514853501932,-0.3137797953220406,-0.29352640095843985,-1.5945399790901775,-0.3686286488550097,-0.8160381277457784,-0.76190319098406
10,3,2,1,24,0,1,3,3,5,3,3,1,3,1,3,2,1,1,2,1,1,1,2,1,1,1,1,1,2,2,2,1,1,2,3,3,1,3,1,1,4,1,0,0,0,0,0,0,-2,0,0,0,0,0,-1,0,0,4,0,1,4,0,0,2,1,1,1,3,3,3,2,4,3,3,2,3,2,1,3,1,4,1,2,4,2,2,2,2,2,2,1,1,1,2,1,1,1,163,56,Female,25-27,21.077195227520797,Normal weight,0.08571294609370253,0.5341115443416218,1.4674525732164712,2.345531636595905,-2.015326093023646,-1.2126714889878176,0.9884080269491368
